Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2022-06-20,Lightyear,2022,https://boxd.it/2WKCHR,1.5,,"The retcon that Andy watched this when we saw that it was primarily an action figure in Toy Story 1 is so lame (remember the commercial on TV?) 
Generic story cash grab that could have been interesting but isn’t. Plus, Buzz doesn’t have the built in laser. His foldable wings, which could have been useful on several occasions in the movie, don’t appear until the last 5 minutes. 

The fact that Buzz traveled so much in time made me think Zurg being Buzz’s dad was going to be impossible. It was predictable that it was going to be future Buzz.

“I hardly recognize you Buzz… all these new ideas… those can be erased, too” 
Might be Pixar’s first one dimensional movie. 


Final thoughts: I wanted to like this when the trailers dropped. I was excited. This felt like a pilot of a TV series. I may try to find a way to watch the Buzz Lightyear cartoon series instead. It’s more likely Andy watched and loved that instead of this movie.

SOX deserves all the Pixar shorts.",,2022-06-20
2022-06-22,Obi-Wan Kenobi,2022,https://boxd.it/2X7jOb,2.5,,"Solid 5 out of 10. Happy it was made.
Enjoyed it, but it was not on par with the prequels or the new prequels. Mando continues his reign.


Hoping for a HAL9000 edit.",,2022-06-22
2022-07-08,Obi-Wan Kenobi,2022,https://boxd.it/2ZZ2NV,,Yes,Watched the Dewit Supercut. It’s brilliant and corrects all the things that “took me out” of the experience. Solid 4/5 when it’s this version that works so well as a movie.,,2022-07-07
2022-07-18,RRR,2022,https://boxd.it/328Cy9,4,,"Ridiculous, but hear me out. It has marvel style action, solid storytelling and incredible characters. I liked this movie a whole lot. It’s 3 hours long and it was engaging from beginning to end.",,2022-07-17
2022-08-07,Chernobyl: The Lost Tapes,2022,https://boxd.it/36sHqF,4,,What is the cost of lies,,2022-08-06
2022-08-16,Elvis,2022,https://boxd.it/38xdBL,3.5,,Label me an Austin Butler fan now. I can’t believe this performance.,,2022-08-15
2022-09-12,Marcel the Shell with Shoes On,2021,https://boxd.it/3dDcZp,3.5,,"“WAR! Let the battle begin,

Marcel”",,2022-09-11
2022-09-29,Blonde,2022,https://boxd.it/3gRIHn,1,,"I get what they were trying to do here, but this film speaks out of both sides of its mouth. 

One one hand it tries to show how sad and difficult her life was due to trauma and exploitation. On the other, this movie takes grandiose liberties and exploits the negative aspects of her life to fit them into the story. 
 
Again, I get it… this is a fictional art film inspired by the portrait of Monroe’s life; NOT a biographical film despite it trying to be one. That’s the problem.",,2022-09-29
2022-10-25,The Watcher,2022,https://boxd.it/3mjUqJ,0.5,,"Illogical garbage. 
If you look up the true story, you know it ends with the family choosing not to move in at all which means everything in this show is made up. This explains why everyone in this show makes incredibly stupid decisions constantly.",,2022-10-24
2022-11-14,Zen - Grogu and Dust Bunnies,2022,https://boxd.it/3qHd5d,2,,A beautiful letdown,,2022-11-13
2022-11-27,The Menu,2022,https://boxd.it/3tqB1R,2,,"If Universal Studios added an A24 themed restaurant to one of their parks, this would be it. ",,2022-11-26
2022-12-19,Avatar: The Way of Water,2022,https://boxd.it/3xYgiL,4,,"This is magical. I didn't think it could be done. 

This movie is great and supersedes the original. Although, having watched it in IMAX 3D, I am afraid that it wont have the same effect on the small screen later on. That being said, I enjoyed this a whole lot given the format.

Edit: Go see this in IMAX 3D while you have the chance.",,2022-12-18
2023-02-23,"I, Robot",2004,https://boxd.it/3TCWED,3.5,Yes,"Some of the cinematography and the CGI has aged, however this movie got so many things right—at almost 20 years old. Its message continues to tell an important cautionary tale that may be more relevant than ever.",,2023-02-22
2023-03-04,Demon Slayer: Kimetsu no Yaiba -To the Swordsmith Village-,2023,https://boxd.it/3W4ep9,1,,So they played 2 previously released episodes and then a new episode. Just a cash grab.,,2023-03-03
2023-03-17,Star Trek Into Darkness,2013,https://boxd.it/3ZBkoJ,4.5,Yes,I still really like this one. I think it's some of JJ Abrams' best work. It's a fun rewatch but I wish I could see this one for the first time again.,,2023-03-16
2023-03-17,Shazam! Fury of the Gods,2023,https://boxd.it/3ZG7Ep,3.5,,Lotta fun like the first one. I hope they leave Shazam as standalone movies  🥲,,2023-03-16
2023-03-25,John Wick: Chapter 4,2023,https://boxd.it/41NlIn,4.5,,Yeah.,,2023-03-24
2023-04-02,One More Time,1931,https://boxd.it/43OOR9,,,"The year is 1931 and studios, including Warner Bros, were shamelessly ripping off Mickey Mouse. RIP Foxy.

https://archive.org/details/omt44458875",,2023-04-01
2023-04-15,Suzume,2022,https://boxd.it/47DvHt,4.5,,"For those who care, watched with subs. 

Really enjoyed Everything about this one.",,2023-04-14
2023-04-29,Ghosted,2023,https://boxd.it/4bfOjD,1.5,,It’s a shame this didn’t have a physical release because I want to throw this movie in the trash.,,2023-04-28
2023-05-02,Return of the Jedi,1983,https://boxd.it/4cbZ2f,5,Yes,40th Anniversary Theatrical showing because of course,,2023-05-01
