Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2020-02-17,About Time,2013,https://boxd.it/ZBLrh,4.5,Yes,,2020-02-16
2020-02-17,To All the Boys: P.S. I Still Love You,2020,https://boxd.it/ZDNm3,3,,,2020-02-16
2020-02-17,Holes,2003,https://boxd.it/ZEqWT,3.5,Yes,,2020-02-16
2020-02-19,Ferris Bueller's Day Off,1986,https://boxd.it/ZPNfv,4.5,Yes,,2020-02-18
2020-02-19,The Edge of Seventeen,2016,https://boxd.it/ZQ9Sf,3.5,Yes,,2020-02-18
2020-02-20,Terminator: Dark Fate,2019,https://boxd.it/ZVnRP,3,,,2020-02-19
2020-02-21,A Beautiful Day in the Neighborhood,2019,https://boxd.it/1002qX,3.5,Yes,,2020-02-20
2020-02-22,Inglourious Basterds,2009,https://boxd.it/104XG7,5,Yes,chalet theatre,2020-02-21
2020-02-23,Batman Begins,2005,https://boxd.it/108Onj,4.5,Yes,,2020-02-22
2020-02-23,The Dark Knight,2008,https://boxd.it/10b245,5,Yes,,2020-02-23
2020-02-25,Bad Boys for Life,2020,https://boxd.it/10lGkn,3,,,2020-02-24
2020-02-28,Pokémon the Movie: Mewtwo Strikes Back - Evolution,2019,https://boxd.it/10xxTd,1,,,2020-02-27
2020-02-28,Pokémon: The First Movie,1998,https://boxd.it/10xSWH,3.5,Yes,,2020-02-27
2020-02-28,Midway,2019,https://boxd.it/10yH0J,3.5,,,2020-02-27
2020-03-01,McMillion$,2020,https://boxd.it/10GYWr,4,,,2020-02-29
2020-03-01,Star Wars: Episode III – Revenge of the Sith,2005,https://boxd.it/10IgCr,4,Yes,,2020-02-29
2020-03-01,The Big Lebowski,1998,https://boxd.it/10Jh5v,3.5,,,2020-02-29
2020-03-07,"I Love You, Now Die: The Commonwealth v. Michelle Carter",2019,https://boxd.it/119es9,3.5,,,2020-03-06
2020-03-07,The Lord of the Rings: The Two Towers,2002,https://boxd.it/11bM4f,3.5,Yes,,2020-03-06
2020-03-07,Sonic the Hedgehog,2020,https://boxd.it/11bM6v,4,Yes,,2020-03-06
2020-03-08,Stuart Little,1999,https://boxd.it/11gEMj,2.5,Yes,,2020-03-07
2020-03-10,2001: A Space Odyssey,1968,https://boxd.it/11nRyj,5,Yes,,2020-03-08
2020-03-11,McMillion$,2020,https://boxd.it/11uap3,4,Yes,,2020-03-10
2020-03-14,Hall Pass,2011,https://boxd.it/11ENJh,3,Yes,,2020-03-12
2020-03-15,Steve Jobs,2015,https://boxd.it/11L97V,5,Yes,,2020-03-14
2020-03-15,Little Miss Sunshine,2006,https://boxd.it/11LDv9,5,Yes,,2020-03-14
2020-03-17,Big,1988,https://boxd.it/11YDyX,4,Yes,,2020-03-15
2020-03-17,Forgetting Sarah Marshall,2008,https://boxd.it/11YDDt,4.5,Yes,,2020-03-15
2020-03-18,Be Kind Rewind,2008,https://boxd.it/123I4t,3.5,Yes,,2020-03-17
2020-03-19,Rise of the Planet of the Apes,2011,https://boxd.it/129Z3f,3,Yes,,2020-03-18
2020-03-21,School of Rock,2003,https://boxd.it/12hPDN,4,Yes,,2020-03-19
2020-03-21,Hot Fuzz,2007,https://boxd.it/12mkGB,5,Yes,,2020-03-20
2020-03-22,Kicking & Screaming,2005,https://boxd.it/12pC05,3.5,Yes,,2020-03-21
2020-03-22,Onward,2020,https://boxd.it/12rGAF,4,,,2020-03-21
2020-03-26,WALL·E,2008,https://boxd.it/12RQBP,3.5,Yes,,2020-03-24
2020-03-26,Tiger King,2020,https://boxd.it/12RElb,4,,,2020-03-25
2020-03-26,Doctor Sleep,2019,https://boxd.it/12W92H,4,,,2020-03-25
2020-03-27,The Shining,1980,https://boxd.it/12ZSg1,4.5,Yes,,2020-03-26
2020-03-27,American Made,2017,https://boxd.it/131CKN,3.5,,,2020-03-26
2020-03-27,Logan,2017,https://boxd.it/132EDh,3,,,2020-03-26
2020-03-28,The Revenant,2015,https://boxd.it/138Y23,4,,,2020-03-27
2020-03-29,The Muppets,2011,https://boxd.it/13gCYl,3,,,2020-03-28
2020-03-29,Django Unchained,2012,https://boxd.it/13iGin,4.5,Yes,,2020-03-28
2020-03-31,The Wolf of Wall Street,2013,https://boxd.it/13u6Pf,4.5,,,2020-03-30
2020-03-31,Flags of Our Fathers,2006,https://boxd.it/13wlIx,3.5,Yes,,2020-03-30
2020-03-31,The Invisible Man,2020,https://boxd.it/13xxyV,3,,,2020-03-30
2020-03-31,Apocalypse Now,1979,https://boxd.it/13ySFF,4.5,Yes,,2020-03-31
2020-04-01,Jumanji: The Next Level,2019,https://boxd.it/13ChRd,3.5,,,2020-03-31
2020-04-02,Live Free or Die Hard,2007,https://boxd.it/13HY57,3.5,Yes,,2020-04-01
2020-04-02,Sonic the Hedgehog,2020,https://boxd.it/13MGNZ,4,Yes,,2020-04-01
2020-04-02,Batman Begins,2005,https://boxd.it/13MGZ7,4.5,Yes,,2020-04-01
2020-04-03,Tropic Thunder,2008,https://boxd.it/13PEoT,5,Yes,,2020-04-02
2020-04-03,300,2006,https://boxd.it/13R0T7,3.5,Yes,,2020-04-02
2020-04-03,The Dark Knight,2008,https://boxd.it/13SLIx,5,Yes,,2020-04-02
2020-04-04,The Jerk,1979,https://boxd.it/13Y8iH,3.5,,,2020-04-03
2020-04-08,Just Go with It,2011,https://boxd.it/14tGBZ,3,Yes,,2020-04-03
2020-04-05,The Dark Knight Rises,2012,https://boxd.it/1488Oj,5,Yes,,2020-04-04
2020-04-05,The Wolf of Wall Street,2013,https://boxd.it/14a1MJ,4.5,Yes,,2020-04-04
2020-04-07,Team America: World Police,2004,https://boxd.it/14kL5h,3.5,Yes,,2020-04-06
2020-04-07,Chernobyl,2019,https://boxd.it/14mYvB,5,Yes,,2020-04-06
2020-04-08,Death Proof,2007,https://boxd.it/14tnhV,3,,,2020-04-07
2020-04-08,The Island,2005,https://boxd.it/14vOJL,3.5,Yes,,2020-04-07
2020-04-09,Wedding Crashers,2005,https://boxd.it/14ybL5,3.5,Yes,,2020-04-08
2020-04-09,Avengers: Endgame,2019,https://boxd.it/14zUc7,5,Yes,,2020-04-08
2020-04-09,The World's End,2013,https://boxd.it/14BjlF,4,Yes,,2020-04-08
2020-04-09,The Hurt Locker,2008,https://boxd.it/14ChLt,4.5,Yes,,2020-04-08
2020-04-10,Zero Dark Thirty,2012,https://boxd.it/14GjnV,3.5,Yes,,2020-04-09
2020-04-10,Reservoir Dogs,1992,https://boxd.it/14JFmr,4,,,2020-04-09
2020-04-13,Venom,2018,https://boxd.it/157YhD,3,,,2020-04-12
2020-04-13,National Lampoon's European Vacation,1985,https://boxd.it/159d7Z,3,Yes,,2020-04-12
2020-04-14,Spenser Confidential,2020,https://boxd.it/15itSP,2.5,,,2020-04-13
2020-04-15,Yes Man,2008,https://boxd.it/15n8Xz,2.5,,,2020-04-14
