Date,Name,Year,Letterboxd URI,Rating
2021-01-14,Hunt for the Wilderpeople,2016,https://boxd.it/cTgG,4
2021-01-19,Baby Driver,2017,https://boxd.it/bhF2,4.5
2021-01-20,Run Hide Fight,2020,https://boxd.it/nipe,3.5
2021-01-28,The White Tiger,2021,https://boxd.it/nhg6,3
2021-01-31,The Little Things,2021,https://boxd.it/mdxU,3
2021-02-01,AlphaGo,2017,https://boxd.it/geTA,4.5
2021-02-08,Malcolm & Marie,2021,https://boxd.it/r5cO,2.5
2021-02-08,Spy,2015,https://boxd.it/71Ks,3
2021-02-14,A Bug's Life,1998,https://boxd.it/1Yyy,5
2021-02-14,Freaky,2020,https://boxd.it/ka42,1.5
2021-02-14,Coming to America,1988,https://boxd.it/1Ygu,4
2021-02-15,Thor: Ragnarok,2017,https://boxd.it/8MHi,4.5
2021-02-17,Spider-Man: Far From Home,2019,https://boxd.it/fegG,4
2021-02-20,De grote dataroof,2019,https://boxd.it/u37I,4
2021-03-10,Land of Mine,2015,https://boxd.it/b5ee,4
2021-03-11,Coming 2 America,2021,https://boxd.it/hrdu,2.5
2021-03-15,Young Ones,2014,https://boxd.it/6pzw,3
2021-03-31,Zack Snyder's Justice League,2021,https://boxd.it/tLOk,4
2021-04-03,Godzilla vs. Kong,2021,https://boxd.it/e0qK,2.5
2021-04-25,Casino Royale,2006,https://boxd.it/1alk,4
2021-04-30,Agent Cody Banks 2: Destination London,2004,https://boxd.it/1Jhi,1.5
2021-05-06,So I Married an Axe Murderer,1993,https://boxd.it/1WfO,3
2021-05-07,Zoolander,2001,https://boxd.it/1YMA,4.5
2021-05-16,Creed,2015,https://boxd.it/a2qk,4
2021-05-17,Creed II,2018,https://boxd.it/hgl8,3
2021-05-18,Rocky,1976,https://boxd.it/28Uk,3.5
2021-05-18,The Hitchhiker's Guide to the Galaxy,2005,https://boxd.it/20VE,4
2021-05-19,The Mitchells vs. the Machines,2021,https://boxd.it/i7xm,4
2021-05-21,The Blind Date,2018,https://boxd.it/pTyc,4
2021-05-24,Logan Lucky,2017,https://boxd.it/dZrs,4
2021-06-07,Old School,2003,https://boxd.it/1TmM,3.5
2021-06-10,Mars Attacks!,1996,https://boxd.it/2bd4,2.5
2021-06-12,Spider-Man 3,2007,https://boxd.it/2a7Y,3
2021-06-14,Cruella,2021,https://boxd.it/bbKg,3.5
2021-06-15,Blade Runner 2049,2017,https://boxd.it/b8wK,4.5
2021-06-23,Luca,2021,https://boxd.it/ipjC,3.5
2021-08-05,The Green Knight,2021,https://boxd.it/kuy2,3
2021-08-10,A Quiet Place Part II,2020,https://boxd.it/iTx0,4
2021-08-21,In the Same Breath,2021,https://boxd.it/tbgc,4
2021-08-25,Let Him Go,2020,https://boxd.it/lYCK,3
2021-08-28,CODA,2021,https://boxd.it/tbf4,4.5
2021-09-12,Black Widow,2021,https://boxd.it/hWV8,2
2021-09-18,127 Hours,2010,https://boxd.it/SLa,3.5
2021-09-18,Dirty Work,1998,https://boxd.it/1NOg,3
2021-09-19,Billy Madison,1995,https://boxd.it/1UQI,4
2021-09-19,Nathan for You: Finding Frances,2017,https://boxd.it/hufy,4.5
2021-09-19,DodgeBall: A True Underdog Story,2004,https://boxd.it/1YAY,3.5
2021-09-22,Waiting...,2005,https://boxd.it/20Pw,3.5
2021-10-10,Dave Chappelle: The Closer,2021,https://boxd.it/xbe4,4
2021-10-13,No Time to Die,2021,https://boxd.it/cPX2,4
2021-10-21,Hubie Halloween,2020,https://boxd.it/mQwm,1.5
2021-11-04,Dune,2021,https://boxd.it/fA7G,5
2021-11-20,Shang-Chi and the Legend of the Ten Rings,2021,https://boxd.it/kLDI,3
2021-12-02,Ghostbusters: Afterlife,2021,https://boxd.it/f4Pw,3.5
